name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
AC Hotel Savannah Historic District,pet-friendly-hotels,601 East River Street,Savannah,GA,31401,+19129129200,https://www.marriott.com/en-us/hotels/savac-ac-hotel-savannah-historic-district/overview,https://www.marriott.com/en-us/hotels/savac-ac-hotel-savannah-historic-district/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome Pet acceptance agreement must be signed at check-in. Non-Refundable Pet Fee Per Stay: $100.00 Maximum Number of Pets in Room: 2,,savannah-ga
Aloft by Marriott Savannah Airport,pet-friendly-hotels,1423 Benton Boulevard,Pooler,GA,31322,+19123489423,https://www.marriott.com/en-us/hotels/savat-aloft-savannah-airport/overview/,https://www.marriott.com/en-us/hotels/savat-aloft-savannah-airport/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome 2 pets 50lbs maximum per pet with 150USD Non Refundable fee per pet per stay Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 50.0lbs Maximum Number of Pets in Room: 2,,savannah-ga
Aloft by Marriott Savannah Downtown Historic District,pet-friendly-hotels,512 West Oglethorpe Avenue,Savannah,GA,31401,+19124212003,https://www.marriott.com/en-us/hotels/saval-aloft-savannah-downtown-historic-district/overview/,https://www.marriott.com/en-us/hotels/saval-aloft-savannah-downtown-historic-district/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome Per room/1 dog 40 lbs max with USD $50 per night fee up to USD $150 max charge Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 1,,savannah-ga
Andaz Savannah,pet-friendly-hotels,14 Barnard Street,Savannah,GA,31401,+1 912-233-2116,https://www.hyatt.com/andaz/en-US/savrd-andaz-savannah,https://www.hyatt.com/andaz/en-US/savrd-andaz-savannah,OFFICIAL_PROPERTY,2026-09-14,,,"Pets Are Welcome | For your visit to downtown Savannah, our boutique hotel welcomes your most cherished travel companion. To allow your dog to stay in our guest room pet program, please inform the hotel that you’ll have a dog(s) staying with you at least three days in advance of your arrival by calling 912-233-2116. In addition, only dogs weighing 50 pounds and under or two dogs under a combined weight of 75 pounds are permitted. All pet friendly rooms are located on the 2nd floor. For guest tranquility, while exploring the city, treat your pet to a day of bliss at blissfulbuddhapetservices.com. For 30+ nights, the pet fee is at the hotel’s discretion. | *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel. | *Pet Waiver must be signed at check-in. While on property, dogs must be leashed in all common areas. For the comfort of all guests, Food and Beverage outlets are reserved for registered service animals only. Pets cannot be left unattended. | Fees | 1-6 nights (nonrefundable pet fee per stay) | $150 | Stay | + | $300 | 7-30 nights (nonrefundable pet fee per stay)",,savannah-ga
Baymont by Wyndham Pooler/Savannah,pet-friendly-hotels,130 Continental Blvd,Pooler,GA,31322,(912) 748-6363,https://www.wyndhamhotels.com/baymont/pooler-georgia/baymont-by-wyndham-pooler-savannah/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=12230&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-14,,,We welcome pets at a rate of 25USD per pet per night. Please contact hotel before making reservation. ADA defined service animals are welcomed at this hotel this does not include emotional support animals.,,savannah-ga
Baymont by Wyndham Port Wentworth,pet-friendly-hotels,7220 GA-21,Port Wentworth,GA,31407,(912) 965-1392,https://www.wyndhamhotels.com/baymont/port-wentworth-georgia/baymont-port-wentworth/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=56883&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-14,,,Service Animals - ADA-defined service animals welcome. / Pets Allowed - 2 pets max. / Fees - 35USD per pet per night. Pet Sanitation Fee 200USD if required. / Other Information - Contact hotel for additional details and availability.,,savannah-ga
Bellwether House,pet-friendly-hotels,211 E Gaston Street,Savannah,GA,31401,(646) 397-9720,https://www.bellwether.house/rooms/savannah-pet-friendly-hotel/,https://www.bellwether.house/rooms/savannah-pet-friendly-hotel/,OFFICIAL_PROPERTY,2026-09-14,,,"At Bellwether House, we welcome four-legged guests with open arms. Our pet-friendly rooms are thoughtfully appointed to ensure a comfortable stay for you and your furry companion. We allow dogs weighing 40 lbs or less. To guarantee availability and proper room assignment, all pet reservations must be made over the phone. $125 per night - only 1 pet allowed.",,savannah-ga
Best Western Savannah Historic District,pet-friendly-hotels,412 W Bay Street,Savannah,GA,31401,+1 (912) 233-1011,https://www.bestwestern.com/en_US/book/hotels-in-savannah/best-western-savannah-historic-district/propertyCode.11205.html,https://www.bestwestern.com/en_US/book/hotels-in-savannah/best-western-savannah-historic-district/propertyCode.11205.html,OFFICIAL_PROPERTY,2026-09-14,,,"We are Pet Friendly and allow up to two dogs in a limited number of rooms. The size limit for any one dog shall be 80 pounds. Other pet types (e.g., cats) may be allowed upon the hotel’s approval prior to arrival. The Pet Friendly rate is 25 USD per day.",,savannah-ga
Candlewood Suites Savannah Airport,pet-friendly-hotels,50 Stephen S. Green Dr.,Savannah,GA,31408,1-912-4831600,https://www.ihg.com/candlewood/hotels/us/en/savannah/savcm/hoteldetail,https://www.ihg.com/candlewood/hotels/us/en/savannah/savcm/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,Pets are welcome at Candlewood Suites Savannah Airport. Pet policy description. Pets allowed with a nonrefundable pet fee of 75 USD per pet for 1 to 6 nights and 150 USD per pet for 7 or more nights. Max 2 pets. Pet agreement must be signed at check in. Call hotel for details. Record of complete and up to date vaccinations required. Pet fee per stay: 150 USD Pet weight limit: 80 2 pets allowed Pets allowed: Only dogs and cats allowed,,savannah-ga
Clarks Inn Savannah Airport,pet-friendly-hotels,301B Governor Treutlen Dr,Pooler,GA,31322,(912) 748-6464,https://www.wyndhamhotels.com/wyndham-garden/pooler-georgia/clarks-inn-savannah-airport/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=00085&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-14,,,Service Animals - ADA-defined service animals welcome. / Dogs and cats Allowed. 2 pets max. 75lbs or less per pet. / Fees - 25USD per pet per night. Pet Sanitation Fee 200USD if required. / Other Information - Contact hotel for additional details and availability.,,savannah-ga
